year,title,authors,link,category,summary,concat
1991,bagging predictors,leo breiman,https://link.springer.com/article/10.1007/BF00058655,ml_classic,bagging predictors is a method for generating multiple versions of a predictor and using these to get an aggregated predictor the aggregation averages over the versions when predicting a numerical outcome and does a plurality vote when predicting a class the multiple versions are formed by making bootstrap replicates of the learning set and using these as new learning sets tests on real and simulated data sets using classification and regression trees and subset selection in linear regression show that bagging can give substantial gains in accuracy the vital element is the instability of the prediction method if perturbing the learning set can cause significant changes in the predictor constructed then bagging can improve accuracy,bagging predictors leo breiman bagging predictors is a method for generating multiple versions of a predictor and using these to get an aggregated predictor the aggregation averages over the versions when predicting a numerical outcome and does a plurality vote when predicting a class the multiple versions are formed by making bootstrap replicates of the learning set and using these as new learning sets tests on real and simulated data sets using classification and regression trees and subset selection in linear regression show that bagging can give substantial gains in accuracy the vital element is the instability of the prediction method if perturbing the learning set can cause significant changes in the predictor constructed then bagging can improve accuracy
1999,improved boosting algorithms using confidence rated predictions,yoav freund and robert e schapire,https://link.springer.com/article/10.1023/A:1007614523901,ml_classic,we describe several improvements to freund and schapire s adaboost boosting algorithm particularly in a setting in which hypotheses may assign confidences to each of their predictions we give a simplified analysis of adaboost in this setting and we show how this analysis can be used to find improved parameter settings as well as a refined criterion for training weak hypotheses we give a specific method for assigning confidences to the predictions of decision trees a method closely related to one used by quinlan this method also suggests a technique for growing decision trees which turns out to be identical to one proposed by kearns and mansour we focus next on how to apply the new boosting algorithms to multiclass classification problems particularly to the multi label case in which each example may belong to more than one class we give two boosting methods for this problem plus a third method based on output coding one of these leads to a new method for handling the single label case which is simpler but as effective as techniques suggested by freund and schapire finally we give some experimental results comparing a few of the algorithms discussed in this paper,improved boosting algorithms using confidence rated predictions yoav freund and robert e schapire we describe several improvements to freund and schapire s adaboost boosting algorithm particularly in a setting in which hypotheses may assign confidences to each of their predictions we give a simplified analysis of adaboost in this setting and we show how this analysis can be used to find improved parameter settings as well as a refined criterion for training weak hypotheses we give a specific method for assigning confidences to the predictions of decision trees a method closely related to one used by quinlan this method also suggests a technique for growing decision trees which turns out to be identical to one proposed by kearns and mansour we focus next on how to apply the new boosting algorithms to multiclass classification problems particularly to the multi label case in which each example may belong to more than one class we give two boosting methods for this problem plus a third method based on output coding one of these leads to a new method for handling the single label case which is simpler but as effective as techniques suggested by freund and schapire finally we give some experimental results comparing a few of the algorithms discussed in this paper
2001,random forests,leo breiman,https://link.springer.com/article/10.1023/A:1010933404324,ml_classic,random forests are a combination of tree predictors such that each tree depends on the values of a random vector sampled independently and with the same distribution for all trees in the forest the generalization error for forests converges a s to a limit as the number of trees in the forest becomes large the generalization error of a forest of tree classifiers depends on the strength of the individual trees in the forest and the correlation between them using a random selection of features to split each node yields error rates that compare favorably to adaboost y freund r schapire machine learning proceedings of the thirteenth international conference 148 156 but are more robust with respect to noise internal estimates monitor error strength and correlation and these are used to show the response to increasing the number of features used in the splitting internal estimates are also used to measure variable importance these ideas are also applicable to regression,random forests leo breiman random forests are a combination of tree predictors such that each tree depends on the values of a random vector sampled independently and with the same distribution for all trees in the forest the generalization error for forests converges a s to a limit as the number of trees in the forest becomes large the generalization error of a forest of tree classifiers depends on the strength of the individual trees in the forest and the correlation between them using a random selection of features to split each node yields error rates that compare favorably to adaboost y freund r schapire machine learning proceedings of the thirteenth international conference 148 156 but are more robust with respect to noise internal estimates monitor error strength and correlation and these are used to show the response to increasing the number of features used in the splitting internal estimates are also used to measure variable importance these ideas are also applicable to regression
1988,learning to predict by the methods of temporal differences,richard s sutton,https://link.springer.com/article/10.1007/BF00115009,dl_rl,this article introduces a class of incremental learning procedures specialized for prediction that is for using past experience with an incompletely known system to predict its future behavior whereas conventional prediction learning methods assign credit by means of the difference between predicted and actual outcomes the new methods assign credit by means of the difference between temporally successive predictions although such temporal difference methods have been used in samuel s checker player holland s bucket brigade and the author s adaptive heuristic critic they have remained poorly understood here we prove their convergence and optimality for special cases and relate them to supervised learning methods for most real world prediction problems temporal difference methods require less memory and less peak computation than conventional methods and they produce more accurate predictions we argue that most problems to which supervised learning is currently applied are really prediction problems of the sort to which temporal difference methods can be applied to advantage,learning to predict by the methods of temporal differences richard s sutton this article introduces a class of incremental learning procedures specialized for prediction that is for using past experience with an incompletely known system to predict its future behavior whereas conventional prediction learning methods assign credit by means of the difference between predicted and actual outcomes the new methods assign credit by means of the difference between temporally successive predictions although such temporal difference methods have been used in samuel s checker player holland s bucket brigade and the author s adaptive heuristic critic they have remained poorly understood here we prove their convergence and optimality for special cases and relate them to supervised learning methods for most real world prediction problems temporal difference methods require less memory and less peak computation than conventional methods and they produce more accurate predictions we argue that most problems to which supervised learning is currently applied are really prediction problems of the sort to which temporal difference methods can be applied to advantage
1982,self organized formation of topologically correct feature maps,teuvo kohonen,https://link.springer.com/article/10.1007/BF00337288,ml_representation,this work contains a theoretical study and computer simulations of a new self organizing process the principal discovery is that in a simple network of adaptive physical elements which receives signals from a primary event space the signal representations are automatically mapped onto a set of output responses in such a way that the responses acquire the same topological order as that of the primary events in other words a principle has been discovered which facilitates the automatic formation of topologically correct maps of features of observable events the basic self organizing system is a one or two dimensional array of processing units resembling a network of threshold logic units and characterized by short range lateral feedback between neighbouring units several types of computer simulations are used to demonstrate the ordering process as well as the conditions under which it fails,self organized formation of topologically correct feature maps teuvo kohonen this work contains a theoretical study and computer simulations of a new self organizing process the principal discovery is that in a simple network of adaptive physical elements which receives signals from a primary event space the signal representations are automatically mapped onto a set of output responses in such a way that the responses acquire the same topological order as that of the primary events in other words a principle has been discovered which facilitates the automatic formation of topologically correct maps of features of observable events the basic self organizing system is a one or two dimensional array of processing units resembling a network of threshold logic units and characterized by short range lateral feedback between neighbouring units several types of computer simulations are used to demonstrate the ordering process as well as the conditions under which it fails
1991,recurrent networks and narma modeling,j connor et al,https://dl.acm.org/doi/10.5555/2986916.2986953,dl_rnn,there exist large classes of time series such as those with nonlinear moving average components that are not well modeled by feedforward networks or linear models but can be modeled by recurrent networks we show that recurrent neural networks are a type of nonlinear autoregressive moving average narma model practical ability will be shown in the results of a competition sponsored by the puget sound power and light company where the recurrent networks gave the best performance on electric load forecasting,recurrent networks and narma modeling j connor et al there exist large classes of time series such as those with nonlinear moving average components that are not well modeled by feedforward networks or linear models but can be modeled by recurrent networks we show that recurrent neural networks are a type of nonlinear autoregressive moving average narma model practical ability will be shown in the results of a competition sponsored by the puget sound power and light company where the recurrent networks gave the best performance on electric load forecasting
2023,3d gaussian splatting for real time radiance field rendering,bernhard kerbl et al,https://dl.acm.org/doi/abs/10.1145/3592433,vision,radiance field methods have recently revolutionized novel view synthesis of scenes captured with multiple photos or videos however achieving high visual quality still requires neural networks that are costly to train and render while recent faster methods inevitably trade off speed for quality for unbounded and complete scenes rather than isolated objects and 1080p resolution rendering no current method can achieve real time display rates we introduce three key elements that allow us to achieve state of the art visual quality while maintaining competitive training times and importantly allow high quality real time 30 fps novel view synthesis at 1080p resolution first starting from sparse points produced during camera calibration we represent the scene with 3d gaussians that preserve desirable properties of continuous volumetric radiance fields for scene optimization while avoiding unnecessary computation in empty space second we perform interleaved optimization density control of the 3d gaussians notably optimizing anisotropic covariance to achieve an accurate representation of the scene third we develop a fast visibility aware rendering algorithm that supports anisotropic splatting and both accelerates training and allows realtime rendering we demonstrate state of the art visual quality and real time rendering on several established datasets,3d gaussian splatting for real time radiance field rendering bernhard kerbl et al radiance field methods have recently revolutionized novel view synthesis of scenes captured with multiple photos or videos however achieving high visual quality still requires neural networks that are costly to train and render while recent faster methods inevitably trade off speed for quality for unbounded and complete scenes rather than isolated objects and 1080p resolution rendering no current method can achieve real time display rates we introduce three key elements that allow us to achieve state of the art visual quality while maintaining competitive training times and importantly allow high quality real time 30 fps novel view synthesis at 1080p resolution first starting from sparse points produced during camera calibration we represent the scene with 3d gaussians that preserve desirable properties of continuous volumetric radiance fields for scene optimization while avoiding unnecessary computation in empty space second we perform interleaved optimization density control of the 3d gaussians notably optimizing anisotropic covariance to achieve an accurate representation of the scene third we develop a fast visibility aware rendering algorithm that supports anisotropic splatting and both accelerates training and allows realtime rendering we demonstrate state of the art visual quality and real time rendering on several established datasets
1992,a training algorithm for optimal margin classifier,bernhard e boser et al,https://dl.acm.org/doi/10.1145/130385.130401,ml_classic,a training algorithm that maximizes the margin between the training patterns and the decision boundary is presented the technique is applicable to a wide variety of the classification functions including perceptrons polynomials and radial basis functions the effective number of parameters is adjusted automatically to match the complexity of the problem the solution is expressed as a linear combination of supporting patterns these are the subset of training patterns that are closest to the decision boundary bounds on the generalization performance based on the leave one out method and the vc dimension are given experimental results on optical character recognition problems demonstrate the good generalization obtained when compared with other learning algorithms,a training algorithm for optimal margin classifier bernhard e boser et al a training algorithm that maximizes the margin between the training patterns and the decision boundary is presented the technique is applicable to a wide variety of the classification functions including perceptrons polynomials and radial basis functions the effective number of parameters is adjusted automatically to match the complexity of the problem the solution is expressed as a linear combination of supporting patterns these are the subset of training patterns that are closest to the decision boundary bounds on the generalization performance based on the leave one out method and the vc dimension are given experimental results on optical character recognition problems demonstrate the good generalization obtained when compared with other learning algorithms
2003,document clustering based on non negative matrix factorization,wei xu et al,https://dl.acm.org/doi/10.1145/860435.860485,ml_classic,in this paper we propose a novel document clustering method based on the non negative factorization of the term document matrix of the given document corpus in the latent semantic space derived by the non negative matrix factorization nmf each axis captures the base topic of a particular document cluster and each document is represented as an additive combination of the base topics the cluster membership of each document can be easily determined by finding the base topic the axis with which the document has the largest projection value our experimental evaluations show that the proposed document clustering method surpasses the latent semantic indexing and the spectral clustering methods not only in the easy and reliable derivation of document clustering results but also in document clustering accuracies,document clustering based on non negative matrix factorization wei xu et al in this paper we propose a novel document clustering method based on the non negative factorization of the term document matrix of the given document corpus in the latent semantic space derived by the non negative matrix factorization nmf each axis captures the base topic of a particular document cluster and each document is represented as an additive combination of the base topics the cluster membership of each document can be easily determined by finding the base topic the axis with which the document has the largest projection value our experimental evaluations show that the proposed document clustering method surpasses the latent semantic indexing and the spectral clustering methods not only in the easy and reliable derivation of document clustering results but also in document clustering accuracies
1989,learnability and the vapnik chervonenkis dimension,blumer et al,https://dl.acm.org/doi/10.1145/76359.76371,learning_theory,valiant s learnability model is extended to learning classes of concepts defined by regions in euclidean space en the methods in this paper lead to a unified treatment of some of valiant s results along with previous results on distribution free convergence of certain pattern recognition algorithms it is shown that the essential condition for distribution free learnability is finiteness of the vapnik chervonenkis dimension a simple combinatorial parameter of the class of concepts to be learned using this parameter the complexity and closure properties of learnable classes are analyzed and the necessary and sufficient conditions are provided for feasible learnability,learnability and the vapnik chervonenkis dimension blumer et al valiant s learnability model is extended to learning classes of concepts defined by regions in euclidean space en the methods in this paper lead to a unified treatment of some of valiant s results along with previous results on distribution free convergence of certain pattern recognition algorithms it is shown that the essential condition for distribution free learnability is finiteness of the vapnik chervonenkis dimension a simple combinatorial parameter of the class of concepts to be learned using this parameter the complexity and closure properties of learnable classes are analyzed and the necessary and sufficient conditions are provided for feasible learnability
1987,hybrid monte carlo,simon duane et al,https://www.sciencedirect.com/science/article/abs/pii/037026938791197X,ml_sampling,we present a new method for the numerical simulation of lattice field theory a hybrid molecular dynamics langevin algorithm is used to guide a monte carlo simulation there are no discretization errors even for large step sizes the method is especially efficient for systems such as quantum chromodynamics which contain fermionic degrees of freedom detailed results are presented for four dimensional compact quantum electrodynamics including the dynamical effects of electrons,hybrid monte carlo simon duane et al we present a new method for the numerical simulation of lattice field theory a hybrid molecular dynamics langevin algorithm is used to guide a monte carlo simulation there are no discretization errors even for large step sizes the method is especially efficient for systems such as quantum chromodynamics which contain fermionic degrees of freedom detailed results are presented for four dimensional compact quantum electrodynamics including the dynamical effects of electrons
1997,a decision theoretic generalization of on line learning and an application to boosting,yoav freund and robert e schapire,https://www.sciencedirect.com/science/article/pii/S002200009791504X,ml_classic,in the first part of the paper we consider the problem of dynamically apportioning resources among a set of options in a worst case on line framework the model we study can be interpreted as a broad abstract extension of the well studied on line prediction model to a general decision theoretic setting we show that the multiplicative weight update littlestone warmuth rule can be adapted to this model yielding bounds that are slightly weaker in some cases but applicable to a considerably more general class of learning problems we show how the resulting learning algorithm can be applied to a variety of problems including gambling multiple outcome prediction repeated games and prediction of points in rn in the second part of the paper we apply the multiplicative weight update technique to derive a new boosting algorithm this boosting algorithm does not require any prior knowledge about the performance of the weak learning algorithm we also study generalizations of the new boosting algorithm to the problem of learning functions whose range rather than being binary is an arbitrary finite set or a bounded segment of the real line,a decision theoretic generalization of on line learning and an application to boosting yoav freund and robert e schapire in the first part of the paper we consider the problem of dynamically apportioning resources among a set of options in a worst case on line framework the model we study can be interpreted as a broad abstract extension of the well studied on line prediction model to a general decision theoretic setting we show that the multiplicative weight update littlestone warmuth rule can be adapted to this model yielding bounds that are slightly weaker in some cases but applicable to a considerably more general class of learning problems we show how the resulting learning algorithm can be applied to a variety of problems including gambling multiple outcome prediction repeated games and prediction of points in rn in the second part of the paper we apply the multiplicative weight update technique to derive a new boosting algorithm this boosting algorithm does not require any prior knowledge about the performance of the weak learning algorithm we also study generalizations of the new boosting algorithm to the problem of learning functions whose range rather than being binary is an arbitrary finite set or a bounded segment of the real line
1989,multilayer feedforward networks are universal approximators,hornik et al,https://www.sciencedirect.com/science/article/abs/pii/0893608089900208,learning_theory,this paper rigorously establishes that standard multilayer feedforward networks with as few as one hidden layer using arbitrary squashing functions are capable of approximating any borel measurable function from one finite dimensional space to another to any desired degree of accuracy provided sufficiently many hidden units are available in this sense multilayer feedforward networks are a class of universal approximators,multilayer feedforward networks are universal approximators hornik et al this paper rigorously establishes that standard multilayer feedforward networks with as few as one hidden layer using arbitrary squashing functions are capable of approximating any borel measurable function from one finite dimensional space to another to any desired degree of accuracy provided sufficiently many hidden units are available in this sense multilayer feedforward networks are a class of universal approximators
1991,approximation capabilities of multilayer feedforward networks,kurt hornik,https://www.sciencedirect.com/science/article/abs/pii/089360809190009T,learning_theory,we show that standard multilayer feedforward networks with as few as a single hidden layer and arbitrary bounded and nonconstant activation function are universal approximators with respect to lp μ performance criteria for arbitrary finite input environment measures μ provided only that sufficiently many hidden units are available if the activation function is continuous bounded and nonconstant then continuous mappings can be learned uniformly over compact input sets we also give very general conditions ensuring that networks with sufficiently smooth activation functions are capable of arbitrarily accurate approximation to a function and its derivatives,approximation capabilities of multilayer feedforward networks kurt hornik we show that standard multilayer feedforward networks with as few as a single hidden layer and arbitrary bounded and nonconstant activation function are universal approximators with respect to lp μ performance criteria for arbitrary finite input environment measures μ provided only that sufficiently many hidden units are available if the activation function is continuous bounded and nonconstant then continuous mappings can be learned uniformly over compact input sets we also give very general conditions ensuring that networks with sufficiently smooth activation functions are capable of arbitrarily accurate approximation to a function and its derivatives
1993,multilayer feedforward networks with a nonpolynomial activation function can approximate any function,moshe leshno et al,https://www.sciencedirect.com/science/article/abs/pii/S0893608005801315,learning_theory,several researchers characterized the activation function under which multilayer feedforward networks can act as universal approximators we show that most of all the characterizations that were reported thus far in the literature are special cases of the following general result a standard multilayer feedforward network with a locally bounded piecewise continuous activation function can approximate any continuous function to any degree of accuracy if and only if the network s activation function is not a polynomial we also emphasize the important role of the threshold asserting that without it the last theorem does not hold,multilayer feedforward networks with a nonpolynomial activation function can approximate any function moshe leshno et al several researchers characterized the activation function under which multilayer feedforward networks can act as universal approximators we show that most of all the characterizations that were reported thus far in the literature are special cases of the following general result a standard multilayer feedforward network with a locally bounded piecewise continuous activation function can approximate any continuous function to any degree of accuracy if and only if the network s activation function is not a polynomial we also emphasize the important role of the threshold asserting that without it the last theorem does not hold
2009,feature hashing for large scale multitask learning,kilian weinberger et al,https://arxiv.org/abs/0902.2206,ml_representation,empirical evidence suggests that hashing is an effective strategy for dimensionality reduction and practical nonparametric estimation in this paper we provide exponential tail bounds for feature hashing and show that the interaction between random subspaces is negligible with high probability we demonstrate the feasibility of this approach with experimental results for a new use case multitask learning with hundreds of thousands of tasks,feature hashing for large scale multitask learning kilian weinberger et al empirical evidence suggests that hashing is an effective strategy for dimensionality reduction and practical nonparametric estimation in this paper we provide exponential tail bounds for feature hashing and show that the interaction between random subspaces is negligible with high probability we demonstrate the feasibility of this approach with experimental results for a new use case multitask learning with hundreds of thousands of tasks
2009,gaussian process optimization in the bandit setting no regret and experimental design,niranjan srinivas et al,https://arxiv.org/abs/0912.3995,ml_tuning,many applications require optimizing an unknown noisy function that is expensive to evaluate we formalize this task as a multi armed bandit problem where the payoff function is either sampled from a gaussian process gp or has low rkhs norm we resolve the important open problem of deriving regret bounds for this setting which imply novel convergence rates for gp optimization we analyze gp ucb an intuitive upper confidence based algorithm and bound its cumulative regret in terms of maximal information gain establishing a novel connection between gp optimization and experimental design moreover by bounding the latter in terms of operator spectra we obtain explicit sublinear regret bounds for many commonly used covariance functions in some important cases our bounds have surprisingly weak dependence on the dimensionality in our experiments on real sensor data gp ucb compares favorably with other heuristical gp optimization approaches,gaussian process optimization in the bandit setting no regret and experimental design niranjan srinivas et al many applications require optimizing an unknown noisy function that is expensive to evaluate we formalize this task as a multi armed bandit problem where the payoff function is either sampled from a gaussian process gp or has low rkhs norm we resolve the important open problem of deriving regret bounds for this setting which imply novel convergence rates for gp optimization we analyze gp ucb an intuitive upper confidence based algorithm and bound its cumulative regret in terms of maximal information gain establishing a novel connection between gp optimization and experimental design moreover by bounding the latter in terms of operator spectra we obtain explicit sublinear regret bounds for many commonly used covariance functions in some important cases our bounds have surprisingly weak dependence on the dimensionality in our experiments on real sensor data gp ucb compares favorably with other heuristical gp optimization approaches
2002,smote synthetic minority over sampling technique,nitesh v chawla et al,https://arxiv.org/abs/1106.1813,ml_sampling,an approach to the construction of classifiers from imbalanced datasets is described a dataset is imbalanced if the classification categories are not approximately equally represented often real world data sets are predominately composed of normal examples with only a small percentage of abnormal or interesting examples it is also the case that the cost of misclassifying an abnormal interesting example as a normal example is often much higher than the cost of the reverse error under sampling of the majority normal class has been proposed as a good means of increasing the sensitivity of a classifier to the minority class this paper shows that a combination of our method of over sampling the minority abnormal class and under sampling the majority normal class can achieve better classifier performance in roc space than only under sampling the majority class this paper also shows that a combination of our method of over sampling the minority class and under sampling the majority class can achieve better classifier performance in roc space than varying the loss ratios in ripper or class priors in naive bayes our method of over sampling the minority class involves creating synthetic minority class examples experiments are performed using c4 5 ripper and a naive bayes classifier the method is evaluated using the area under the receiver operating characteristic curve auc and the roc convex hull strategy,smote synthetic minority over sampling technique nitesh v chawla et al an approach to the construction of classifiers from imbalanced datasets is described a dataset is imbalanced if the classification categories are not approximately equally represented often real world data sets are predominately composed of normal examples with only a small percentage of abnormal or interesting examples it is also the case that the cost of misclassifying an abnormal interesting example as a normal example is often much higher than the cost of the reverse error under sampling of the majority normal class has been proposed as a good means of increasing the sensitivity of a classifier to the minority class this paper shows that a combination of our method of over sampling the minority abnormal class and under sampling the majority normal class can achieve better classifier performance in roc space than only under sampling the majority class this paper also shows that a combination of our method of over sampling the minority class and under sampling the majority class can achieve better classifier performance in roc space than varying the loss ratios in ripper or class priors in naive bayes our method of over sampling the minority class involves creating synthetic minority class examples experiments are performed using c4 5 ripper and a naive bayes classifier the method is evaluated using the area under the receiver operating characteristic curve auc and the roc convex hull strategy
2011,hogwild a lock free approach to parallelizing stochastic gradient descent,feng niu et al,https://arxiv.org/abs/1106.5730,dl_general,stochastic gradient descent sgd is a popular algorithm that can achieve state of the art performance on a variety of machine learning tasks several researchers have recently proposed schemes to parallelize sgd but all require performance destroying memory locking and synchronization this work aims to show using novel theoretical analysis algorithms and implementation that sgd can be implemented without any locking we present an update scheme called hogwild which allows processors access to shared memory with the possibility of overwriting each other s work we show that when the associated optimization problem is sparse meaning most gradient updates only modify small parts of the decision variable then hogwild achieves a nearly optimal rate of convergence we demonstrate experimentally that hogwild outperforms alternative schemes that use locking by an order of magnitude,hogwild a lock free approach to parallelizing stochastic gradient descent feng niu et al stochastic gradient descent sgd is a popular algorithm that can achieve state of the art performance on a variety of machine learning tasks several researchers have recently proposed schemes to parallelize sgd but all require performance destroying memory locking and synchronization this work aims to show using novel theoretical analysis algorithms and implementation that sgd can be implemented without any locking we present an update scheme called hogwild which allows processors access to shared memory with the possibility of overwriting each other s work we show that when the associated optimization problem is sparse meaning most gradient updates only modify small parts of the decision variable then hogwild achieves a nearly optimal rate of convergence we demonstrate experimentally that hogwild outperforms alternative schemes that use locking by an order of magnitude
2013,maxout networks,i goodfellow et al,http://arxiv.org/pdf/1302.4389v4,vision,we consider the problem of designing models to leverage a recently introduced approximate model averaging technique called dropout we define a simple new model called maxout so named because its output is the max of a set of inputs and because it is a natural companion to dropout designed to both facilitate optimization by dropout and improve the accuracy of dropout s fast approximate model averaging technique we empirically verify that the model successfully accomplishes both of these tasks we use maxout and dropout to demonstrate state of the art classification performance on four benchmark datasets mnist cifar 10 cifar 100 and svhn,maxout networks i goodfellow et al we consider the problem of designing models to leverage a recently introduced approximate model averaging technique called dropout we define a simple new model called maxout so named because its output is the max of a set of inputs and because it is a natural companion to dropout designed to both facilitate optimization by dropout and improve the accuracy of dropout s fast approximate model averaging technique we empirically verify that the model successfully accomplishes both of these tasks we use maxout and dropout to demonstrate state of the art classification performance on four benchmark datasets mnist cifar 10 cifar 100 and svhn
2013,speech recognition with deep recurrent neural networks,a graves,http://arxiv.org/pdf/1303.5778.pdf,audio,recurrent neural networks rnns are a powerful model for sequential data end to end training methods such as connectionist temporal classification make it possible to train rnns for sequence labelling problems where the input output alignment is unknown the combination of these methods with the long short term memory rnn architecture has proved particularly fruitful delivering state of the art results in cursive handwriting recognition however rnn performance in speech recognition has so far been disappointing with better results returned by deep feedforward networks this paper investigates emph deep recurrent neural networks which combine the multiple levels of representation that have proved so effective in deep networks with the flexible use of long range context that empowers rnns when trained end to end with suitable regularisation we find that deep long short term memory rnns achieve a test set error of 17 7 on the timit phoneme recognition benchmark which to our knowledge is the best recorded score,speech recognition with deep recurrent neural networks a graves recurrent neural networks rnns are a powerful model for sequential data end to end training methods such as connectionist temporal classification make it possible to train rnns for sequence labelling problems where the input output alignment is unknown the combination of these methods with the long short term memory rnn architecture has proved particularly fruitful delivering state of the art results in cursive handwriting recognition however rnn performance in speech recognition has so far been disappointing with better results returned by deep feedforward networks this paper investigates emph deep recurrent neural networks which combine the multiple levels of representation that have proved so effective in deep networks with the flexible use of long range context that empowers rnns when trained end to end with suitable regularisation we find that deep long short term memory rnns achieve a test set error of 17 7 on the timit phoneme recognition benchmark which to our knowledge is the best recorded score
2014,generating sequences with recurrent neural networks,alex graves,https://arxiv.org/pdf/1308.0850.pdf,dl_nlp,this paper shows how long short term memory recurrent neural networks can be used to generate complex sequences with long range structure simply by predicting one data point at a time the approach is demonstrated for text where the data are discrete and online handwriting where the data are real valued it is then extended to handwriting synthesis by allowing the network to condition its predictions on a text sequence the resulting system is able to generate highly realistic cursive handwriting in a wide variety of styles,generating sequences with recurrent neural networks alex graves this paper shows how long short term memory recurrent neural networks can be used to generate complex sequences with long range structure simply by predicting one data point at a time the approach is demonstrated for text where the data are discrete and online handwriting where the data are real valued it is then extended to handwriting synthesis by allowing the network to condition its predictions on a text sequence the resulting system is able to generate highly realistic cursive handwriting in a wide variety of styles
2014,decaf a deep convolutional activation feature for generic visual recognition,j donahue et al,http://arxiv.org/pdf/1310.1531,vision,we evaluate whether features extracted from the activation of a deep convolutional network trained in a fully supervised fashion on a large fixed set of object recognition tasks can be re purposed to novel generic tasks our generic tasks may differ significantly from the originally trained tasks and there may be insufficient labeled or unlabeled data to conventionally train or adapt a deep architecture to the new tasks we investigate and visualize the semantic clustering of deep convolutional features with respect to a variety of such tasks including scene recognition domain adaptation and fine grained recognition challenges we compare the efficacy of relying on various network levels to define a fixed feature and report novel results that significantly outperform the state of the art on several important vision challenges we are releasing decaf an open source implementation of these deep convolutional activation features along with all associated network parameters to enable vision researchers to be able to conduct experimentation with deep representations across a range of visual concept learning paradigms,decaf a deep convolutional activation feature for generic visual recognition j donahue et al we evaluate whether features extracted from the activation of a deep convolutional network trained in a fully supervised fashion on a large fixed set of object recognition tasks can be re purposed to novel generic tasks our generic tasks may differ significantly from the originally trained tasks and there may be insufficient labeled or unlabeled data to conventionally train or adapt a deep architecture to the new tasks we investigate and visualize the semantic clustering of deep convolutional features with respect to a variety of such tasks including scene recognition domain adaptation and fine grained recognition challenges we compare the efficacy of relying on various network levels to define a fixed feature and report novel results that significantly outperform the state of the art on several important vision challenges we are releasing decaf an open source implementation of these deep convolutional activation features along with all associated network parameters to enable vision researchers to be able to conduct experimentation with deep representations across a range of visual concept learning paradigms
2013,distributed representations of words and phrases and their compositionality,tomas mikolov et al,https://arxiv.org/abs/1310.4546,dl_nlp,the recently introduced continuous skip gram model is an efficient method for learning high quality distributed vector representations that capture a large number of precise syntactic and semantic word relationships in this paper we present several extensions that improve both the quality of the vectors and the training speed by subsampling of the frequent words we obtain significant speedup and also learn more regular word representations we also describe a simple alternative to the hierarchical softmax called negative sampling an inherent limitation of word representations is their indifference to word order and their inability to represent idiomatic phrases for example the meanings of canada and air cannot be easily combined to obtain air canada motivated by this example we present a simple method for finding phrases in text and show that learning good vector representations for millions of phrases is possible,distributed representations of words and phrases and their compositionality tomas mikolov et al the recently introduced continuous skip gram model is an efficient method for learning high quality distributed vector representations that capture a large number of precise syntactic and semantic word relationships in this paper we present several extensions that improve both the quality of the vectors and the training speed by subsampling of the frequent words we obtain significant speedup and also learn more regular word representations we also describe a simple alternative to the hierarchical softmax called negative sampling an inherent limitation of word representations is their indifference to word order and their inability to represent idiomatic phrases for example the meanings of canada and air cannot be easily combined to obtain air canada motivated by this example we present a simple method for finding phrases in text and show that learning good vector representations for millions of phrases is possible
