year,title,authors,link
2022,Solving Quantitative Reasoning Problems with Language Models,Lewkowycz et al.,https://arxiv.org/abs/2206.14858
2022,ReAct: Synergizing Reasoning and Acting in Language Models,Shunyu Yao et al.,https://arxiv.org/abs/2210.03629
2022,BLOOM: A 176B-Parameter Open-Access Multilingual Language Model,BigScience Workshop,https://arxiv.org/abs/2211.05100
2022,Large Language Models Encode Clinical Knowledge,Singhal et al.,https://arxiv.org/abs/2212.13138
2023,DetectGPT: Zero-Shot Machine-Generated Text Detection using Probability Curvature,Eric Mitchell et al.,https://arxiv.org/abs/2301.11305
2023,Toolformer: Language Models Can Teach Themselves to Use Tools,Timo Schick et al.,https://arxiv.org/abs/2302.04761
2023,LLaMA: Open and Efficient Foundation Language Models,Hugo Touvron et al.,https://arxiv.org/abs/2302.13971
2023,Sparks of Artificial General Intelligence: Early experiments with GPT-4,Sébastien Bubeck et al.,https://arxiv.org/abs/2303.12712
2023,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in HuggingFace,Yongliang Shen et al.,https://arxiv.org/abs/2303.17580
2023,BloombergGPT: A Large Language Model for Finance,Shijie Wu et al.,https://arxiv.org/abs/2303.17564
2023,Instruction Tuning with GPT-4,Baolin Peng et al.,https://arxiv.org/abs/2304.03277
2023,Generative Agents: Interactive Simulacra of Human Behavior,Joon Sung Park et al.,https://arxiv.org/abs/2304.03442
2023,PaLM 2 Technical Report,Rohan Anil et al.,https://arxiv.org/abs/2305.10403
2023,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Yao Fu et al.,https://arxiv.org/abs/2305.10601
2023,LIMA: Less Is More for Alignment,Chunting Zhou et al.,https://arxiv.org/abs/2305.11206
2023,QLoRA: Efficient Finetuning of Quantized LLMs,Tim Dettmers et al.,https://arxiv.org/abs/2305.14314
2023,Voyager: An Open-Ended Embodied Agent with Large Language Models,Guanzhi Wang et al.,https://arxiv.org/abs/2305.16291
2023,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,Yujia Qin et al.,https://arxiv.org/abs/2307.16789
2023,MetaGPT: Meta Programming for Multi-Agent Collaborative Framework,Sirui Hong et al.,https://arxiv.org/abs/2308.00352
2023,Code Llama: Open Foundation Models for Code,Baptiste Rozière et al.,https://arxiv.org/abs/2308.12950
2023,RLAIF: Scaling Reinforcement Learning from Human Feedback with AI Feedback,Harrison Lee et al.,https://arxiv.org/abs/2309.00267
2023,Large Language Models as Optimizers,Chengrun Yang et al.,https://arxiv.org/abs/2309.03409
2023,Eureka: Human-Level Reward Design via Coding Large Language Models,Yecheng Jason Ma et al.,https://arxiv.org/abs/2310.12931
2023,Mathematical discoveries from program search with large language models (FunSearch),Bernardino Romera-Paredes et al.,https://www.nature.com/articles/s41586-023-06924-6
2023,The Impact of Positional Encoding on Length Generalization in Transformers,Amirhossein Kazemnejad et al.,https://arxiv.org/abs/2305.19466
2023,Stabilizing Transformer Training by Preventing Attention Entropy Collapse,Shuangfei Zhai et al.,https://arxiv.org/abs/2303.06296
2023,Efficient Streaming Language Models with Attention Sinks,Guangxuan Xiao et al.,https://arxiv.org/abs/2309.17453
2017,Improving Language Understanding by Generative Pre-Training, A. Radford et al.,Natural language understanding comprises a wide range of diverse tasks such as textual entailment question answering semantic similarity assessment and document classification. Although large unlabeled text corpora are abundant labeled data for learning these specific tasks is scarce making it challenging for discriminatively trained models to perform adequately. We demonstrate that large gains on these tasks can be realized by generative pre-training of a language model on a diverse corpus of unlabeled text followed by discriminative fine-tuning on each specific task. In contrast to previous approaches we make use of task-aware input transformations during fine-tuning to achieve effective transfer while requiring minimal changes to the model architecture. We demonstrate the effectiveness of our approach on a wide range of benchmarks for natural language understanding. Our general task-agnostic model outperforms discriminatively trained models that use architectures specifically crafted for each task significantly improving upon the state of the art in 9 out of the 12 tasks studied. For instance we achieve absolute improvements of 8.9% on commonsense reasoning (Stories Cloze Test) 5.7% on question answering (RACE) and 1.5% on textual entailment (MultiNLI)
